Sample,Name,Origin,Species,lat,long,Type,Flower_time (day)
R4458,Lion,Germany,Brassica napus L.,47.9958954,7.8522205,Winter,183
R4459,Lonto,Germany,Brassica napus L.,53.868927,10.687294,Winter,185
R4460,Niederarnbacher,Germany,Brassica napus L.,50.9833333,11.0333328,Winter,185
R4461,Licantara,Germany,Brassica napus L.,51.35,7.4666667,Winter,181
R4462,Wrg 15,Germany,Brassica napus L.,54.0886975,12.1404934,Winter,182
R4463,Korina,Germany,Brassica napus L.,51.3166667,9.5,Winter,181
R4464,Diamant,Germany,Brassica napus L.,51.6803258,7.8208923,Winter,182
R4465,Nevin,Germany,Brassica napus L.,50,8.2711115,Winter,183
R4466,unknown,Germany,Brassica napus L.,49.2333333,7,Winter,180
R4467,"Lirajet, Wrg 60",Germany,Brassica napus L.,51.55,7.2166667,Winter,179
R4468,Liradonna,Germany,Brassica napus L.,51.4333333,6.8833332,Winter,183
R4469,Niklot,Germany,Brassica napus L.,52.2666667,8.0500002,Winter,181
R4470,Hermes,Germany,Brassica napus L.,51.1833333,7.0833335,Winter,183
R4471,Licrown,Germany,Brassica napus L.,49.4811111,8.4352779,Winter,180
R4472,Prince,Germany,Brassica napus L.,51.0333333,7,Winter,178
R4473,Echo,Germany,Brassica napus L.,53.1666667,8.1999998,Winter,179
R4474,Furax,Germany,Brassica napus L.,51.2,6.6833334,Winter,179
R4475,"Liropa, Wrg 20",Germany,Brassica napus L.,52.3988578,13.0656624,Winter,181
R4476,Garant,Germany,Brassica napus L.,49.4076783,8.6907864,Winter,180
R4477,Liropa,Germany,Brassica napus L.,51.7190528,8.7543869,Winter,180
R4478,Dux,Germany,Brassica napus L.,49.8705556,8.6494446,Spring,178
R4479,Passat,Germany,Brassica napus L.,49.7877778,9.9361115,Winter,184
R4480,Bk 28/78,Germany,Brassica napus L.,49.015,12.0955553,Winter,182
